Model,MAE,RMSE,R2
LinearRegression,5.30523295258508,7.314523385784064,0.6810781244679119
Ridge,5.499591965118264,7.476129214644403,0.6668300360500792
RandomForest,3.987247647733794,5.713107424882541,0.805438446859889
GradientBoosting,3.9021553797637867,5.844186993463794,0.796408120957476
