Model,MAE,RMSE,R2
LinearRegression,20459.683260794398,31280.846360647556,0.8724315860097858
Ridge,20644.178812248083,34625.50460611152,0.8436930142417604
RandomForest,17523.679109589037,28493.74875830324,0.8941513442361082
GradientBoosting,16645.995748551188,26940.598490480024,0.9053761434102788
