Model,ROC-AUC mean,ROC-AUC std,PR-AUC mean,PR-AUC std,Sensitivity mean,Sensitivity std,Specificity mean,Balanced Acc mean,Balanced Acc std,Accuracy mean,Accuracy std
Logistic Regression,0.9953560371517026,0.004751646824859202,0.99441978103242,0.004610153085496317,0.9588235294117646,0.029994232432898744,0.9789473684210526,0.9688854489164086,0.01952797268197908,0.9714285714285713,0.01785502946073838
Random Forest,0.9891124871001031,0.006961929814457379,0.9878795812343781,0.006197892767771627,0.9411764705882353,0.032218973970892135,0.9754385964912281,0.9583075335397316,0.015373386727997266,0.9626373626373625,0.01318681318681317
Tuned & Pruned CART,0.9477296181630546,0.031126400473763274,0.8988524222926733,0.04705474750303463,0.9176470588235294,0.06280634265900772,0.9578947368421054,0.9377708978328174,0.02948834019725474,0.9428571428571428,0.023466106048420456
Basic CART,0.9172342621259031,0.0375421661005599,0.8453273548321126,0.06062389815020001,0.8941176470588236,0.06056253024110001,0.9403508771929822,0.9172342621259031,0.03754216610055988,0.923076923076923,0.032598674668552395
Dummy Baseline,0.5,0.0,0.37362637362637363,0.0,0.0,0.0,1.0,0.5,0.0,0.6263736263736264,0.0
