Model,Test Recall,Test Specificity,Test Precision,Test F1,Test ROC-AUC,Test PR-AUC,CV ROC-AUC Mean,CV ROC-AUC Std
Dummy Baseline,0.0,1.0,,0.0,0.5,0.3684210526315789,0.5,0.0
Basic CART,0.9047619047619048,0.9444444444444444,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.8536818236066357,0.9172342621259031,0.0375421661005599
Tuned & Pruned CART,0.9047619047619048,0.9444444444444444,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.8536818236066357,0.9172342621259031,0.0375421661005599
Random Forest,0.9047619047619048,1.0,1.0,0.95,0.9970238095238095,0.9952258653750137,0.9891124871001031,0.006961929814457379
Logistic Regression,0.9523809523809523,0.9861111111111112,0.975609756097561,0.963855421686747,0.9953703703703703,0.9931011971184138,0.9953560371517026,0.004751646824859202
