Model,Test Recall,Test Specificity,Test Precision,Test F1,Test ROC-AUC,Test PR-AUC,CV ROC-AUC Mean,CV ROC-AUC Std
Dummy Baseline,0.0,1.0,,0.0,0.5,0.45901639344262296,0.5,0.0
Basic CART,0.8214285714285714,0.6666666666666666,0.6764705882352942,0.7419354838709677,0.7440476190476191,0.6376394820223171,0.6966532662184836,0.054275249157449905
Tuned & Pruned CART,0.8571428571428571,0.8787878787878788,0.8571428571428571,0.8571428571428571,0.8712121212121212,0.8085703133712501,0.8453174442304878,0.048672017252036216
Random Forest,0.9285714285714286,0.8181818181818182,0.8125,0.8666666666666667,0.9442640692640693,0.9191397683848841,0.893573133790525,0.0332539152853765
Logistic Regression,0.9285714285714286,0.8484848484848485,0.8387096774193549,0.8813559322033898,0.9664502164502166,0.9634351641401436,0.9024931590148981,0.01443995119614911
