Model,CV ROC-AUC mean,CV ROC-AUC std,CV Balanced Acc
Dummy Baseline,0.5,0.0,0.5
Basic CART,0.719078921078921,0.07348883722713818,0.7190789210789211
Tuned & Pruned CART,0.8245381285381285,0.06979546172507542,0.7670516150516151
Random Forest,0.8842007992007991,0.06527675902193611,0.7965341325341326
