Model,Test Recall,Test Specificity,Test Precision,Test F1,Test ROC-AUC,Test PR-AUC,CV ROC-AUC Mean,CV ROC-AUC Std
Dummy Baseline,1.0,0.0,0.6153846153846154,0.7619047619047619,0.5,0.6153846153846154,0.5,0.0
Basic CART,0.96875,1.0,1.0,0.9841269841269841,0.984375,0.9879807692307693,0.9543410633484163,0.016953495593161273
Tuned & Pruned CART,0.953125,1.0,1.0,0.976,0.9724609375,0.9841697936210131,0.9440858314479638,0.020757851259346864
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9936745852187029,0.004931998409316781
Logistic Regression,0.890625,0.95,0.9661016949152542,0.926829268292683,0.990234375,0.9939899583518995,0.9319935426093513,0.019048739686416676
